AND ,344.465240;+35.168194,344.342802;+53.167966,351.452816;+53.186940,351.465600;+50.686955,355.270479;+50.692845,355.275994;+48.692851,004.146269;+48.694867,004.143178;+46.694871,014.775952;+46.675692,014.788742;+48.675671,018.588271;+48.663201,018.605767;+50.663167,022.407791;+50.647808,026.968367;+50.625676,026.931284;+47.625778,032.621323;+47.592687,032.673629;+51.092518,039.885288;+51.042313,039.679166;+37.293109,031.870929;+37.347036,031.854091;+35.597091,022.910692;+35.645289,022.897284;+33.645322,012.442943;+33.681849,012.413371;+24.431899,014.423940;+24.426591,014.414692;+21.676609,003.739816;+21.695165,003.740540;+22.695163,002.609914;+22.695729,002.612739;+28.695720,001.606116;+28.695997,001.606877;+32.029322,357.828671;+32.028462,357.828014;+32.778461,354.049074;+32.774601,354.044092;+35.191265,
ANT ,141.904131;-24.542539,141.771393;-37.292047,141.733854;-40.291907,166.456340;-40.424671,166.479208;-35.674699,163.958339;-35.666540,163.977716;-31.833239,160.201209;-31.818625,160.212723;-29.818647,155.181136;-29.794817,155.199157;-27.128190,147.659083;-27.083529,147.679482;-24.583593,
APS ,209.111251;-83.120165,276.866607;-82.458278,274.195298;-74.974524,273.280189;-67.480084,265.775848;-67.571125,258.242599;-67.661119,258.470808;-70.159775,224.166478;-70.511618,207.460839;-70.624524,207.781426;-75.623679,
AQR ,309.598803;+00.436187,309.579853;+02.436096,314.081056;+02.477326,321.583416;+02.539386,323.584215;+02.554418,323.578692;+03.304397,326.580181;+03.325673,326.587026;+02.325698,331.588714;+02.357618,331.587229;+02.607613,342.842144;+02.662212,342.849639;+00.662229,342.864630;-03.337737,359.102121;-03.304189,359.103210;-06.304184,359.110472;-24.804154,346.680871;-24.825001,329.770240;-24.904002,329.656097;-08.404380,321.668368;-08.460276,321.716383;-14.460085,309.743875;-14.563115,309.684626;-08.563400,
AQL ,280.350187;+00.115500,280.326214;+02.115357,284.576391;+02.165915,284.525943;+06.415617,281.458537;+06.379205,281.388018;+12.128784,284.456225;+12.165205,284.373601;+18.664717,286.375469;+18.688231,286.405469;+16.355076,298.921138;+16.495731,298.925975;+16.079087,303.558948;+16.127516,303.636632;+08.877917,306.013931;+08.901828,306.079082;+02.402155,309.579853;+02.436096,309.598803;+00.436187,309.684626;-08.563400,301.693674;-08.643060,301.726354;-11.676217,284.744011;-11.866424,284.647260;-03.833666,280.398181;-03.884212,
ARA ,249.034748;-60.264493,248.570630;-45.767081,269.809297;-45.516352,272.309024;-45.485979,272.672317;-56.983775,265.168259;-57.074788,265.775848;-67.571125,258.242599;-67.661119,255.725066;-67.690614,255.542455;-65.191676,254.283599;-65.206283,254.195194;-63.790123,251.676386;-63.819033,251.537906;-61.236490,249.081688;-61.264231,
ARI ,031.665095;+10.514386,026.655590;+10.543230,026.744528;+25.626301,030.513559;+25.605038,030.530463;+27.854984,038.069980;+27.804731,038.103022;+31.221275,042.628204;+31.186464,052.426478;+31.100328,052.290438;+19.434316,051.037049;+19.446096,050.946229;+10.363200,
AUR ,069.486727;+30.921852,069.573621;+36.254687,072.457121;+36.221826,072.840029;+52.719613,077.484504;+52.665525,077.606489;+56.164804,094.130798;+55.965799,094.057081;+53.966247,100.045747;+53.893828,099.919190;+49.894589,104.406085;+49.841009,104.265044;+44.341845,112.733870;+44.243566,112.560481;+35.244546,100.090036;+35.390567,099.965430;+27.891316,090.220847;+28.009286,090.228675;+28.509238,073.212259;+28.712423,073.235129;+30.212289,069.476572;+30.255239,
BOO ,227.781422;+07.525413,204.063750;+07.360598,204.028825;+14.360525,203.953778;+27.860365,210.788741;+27.897701,210.770767;+30.147649,211.888848;+30.154592,211.698660;+47.904012,211.584324;+54.903657,217.251206;+54.942314,229.591033;+55.044934,229.657341;+52.545238,237.084471;+52.617537,237.124589;+51.117740,237.365410;+39.618960,232.643613;+39.572169,232.746937;+32.572659,229.015869;+32.537726,229.099454;+25.538099,227.605437;+25.524653,
CAE ,065.076198;-39.700691,064.882152;-48.699619,068.362005;-48.738407,068.423858;-46.238758,073.401841;-46.295866,073.482132;-42.796335,075.974206;-42.825521,076.254721;-27.077181,073.759081;-27.047956,071.763120;-27.024852,071.722205;-29.774615,069.976434;-29.754629,069.862154;-36.753974,065.129639;-36.700987,
CAM ,094.130798;+55.965799,077.606489;+56.164804,077.484504;+52.665525,072.840029;+52.719613,052.312864;+52.936552,052.381673;+55.436226,049.853803;+55.459595,049.913271;+57.459324,048.900704;+57.468437,049.395183;+68.466222,054.236741;+68.421382,055.308330;+77.416243,056.725783;+77.402526,057.529966;+80.398600,080.488260;+80.147818,084.534934;+85.123923,127.952574;+84.610419,130.401376;+86.097586,213.023307;+85.930900,216.782954;+79.445073,203.809168;+79.363027,204.156976;+76.363905,195.820510;+76.329001,174.434545;+76.308503,174.531298;+79.308435,162.818215;+79.340264,163.104984;+81.339692,142.190573;+81.467828,140.615093;+72.974195,123.085806;+73.138410,122.128811;+59.643428,107.752888;+59.803735,107.851235;+61.803160,094.407131;+61.964121,
CNC ,140.404064;+06.470082,122.921180;+06.630247,120.548131;+06.654994,120.580455;+09.654825,118.832283;+09.673437,118.871400;+13.173228,118.947335;+19.672824,120.069906;+19.660837,120.171435;+27.660301,121.915747;+27.641936,121.993000;+33.141535,140.645774;+32.969154,
CVN ,181.594366;+33.304022,181.591260;+44.304035,182.826305;+44.304408,182.818380;+52.304415,203.742307;+52.359884,203.795027;+47.860007,211.698660;+47.904012,211.888848;+30.154592,210.770767;+30.147649,210.788741;+27.897701,203.953778;+27.860365,200.226475;+27.843826,200.207645;+31.343793,186.557564;+31.307490,186.554125;+33.307491,
CMA ,093.215414;-11.030146,111.973184;-11.252143,111.676966;-33.250474,099.903623;-33.112810,092.898838;-33.028221,092.992341;-27.278789,
CMI ,122.848793;-00.369384,109.599449;-00.224323,109.616703;+01.275578,106.867181;+01.307448,106.914057;+05.307175,106.664104;+05.310095,106.717663;+09.809783,106.748009;+12.309606,114.240787;+12.223882,114.252515;+13.223817,118.871400;+13.173228,118.832283;+09.673437,120.580455;+09.654825,120.548131;+06.654994,122.921180;+06.630247,
CAP ,309.684626;-08.563400,301.693674;-08.643060,301.726354;-11.676217,301.915948;-27.641890,306.897942;-27.591311,321.831570;-27.459631,321.807714;-24.959724,329.770240;-24.904002,329.656097;-08.404380,321.668368;-08.460276,321.716383;-14.460085,309.743875;-14.563115,
CAR ,170.155742;-57.184415,166.337072;-57.174512,133.323388;-56.974010,133.379915;-54.974258,127.566841;-54.920506,127.609026;-53.420708,123.319852;-53.378245,123.380871;-51.128554,120.861427;-51.102606,090.748628;-50.754531,090.693427;-52.504196,093.194082;-52.534564,093.107117;-55.034036,098.113987;-55.094554,097.994779;-58.093838,103.010817;-58.153701,102.702972;-64.151882,136.094421;-64.499090,135.243254;-75.495521,169.856725;-75.684099,170.084615;-64.684343,
CAS ,344.342802;+53.167966,344.303993;+56.917897,344.269090;+59.751165,348.859616;+59.764603,348.816441;+63.681217,355.217528;+63.692802,355.197805;+66.692788,006.763668;+66.692356,006.922840;+77.692251,055.308330;+77.416243,054.236741;+68.421382,049.395183;+68.466222,048.900704;+57.468437,038.762139;+57.551229,038.802153;+59.051081,030.795445;+59.104532,030.773448;+58.104598,027.595055;+58.122642,027.533477;+54.622812,022.455865;+54.647697,022.407791;+50.647808,018.605767;+50.663167,018.588271;+48.663201,014.788742;+48.675671,014.775952;+46.675692,004.143178;+46.694871,004.146269;+48.694867,355.275994;+48.692851,355.270479;+50.692845,351.465600;+50.686955,351.452816;+53.186940,
CEN ,166.479208;-35.674699,166.456340;-40.424671,166.337072;-57.174512,170.155742;-57.184415,170.084615;-64.684343,179.057196;-64.695870,179.070614;-55.695864,194.334403;-55.677180,194.438279;-64.677043,204.680222;-64.638021,220.514957;-64.539091,220.234422;-55.540152,214.656762;-55.580021,214.450192;-42.580695,225.796246;-42.494218,225.630723;-29.994908,190.417272;-30.186430,190.427074;-33.686425,185.387310;-33.693938,185.390162;-35.693939,
CEP ,300.573344;+59.851058,300.485291;+61.850598,306.811913;+61.914349,306.517485;+67.412919,310.334109;+67.448991,309.573275;+75.445489,301.873617;+75.370844,300.674198;+80.364750,313.706262;+80.486739,308.722253;+86.465584,308.332728;+86.630586,343.511367;+86.836807,339.263111;+88.663804,135.830448;+87.568969,130.401376;+86.097586,127.952574;+84.610419,084.534934;+85.123923,080.488260;+80.147818,057.529966;+80.398600,056.725783;+77.402526,055.308330;+77.416243,006.922840;+77.692251,006.763668;+66.692356,355.197805;+66.692788,355.217528;+63.692802,348.816441;+63.681217,348.859616;+59.764603,344.269090;+59.751165,344.303993;+56.917897,335.910912;+56.882516,335.931287;+55.632568,333.137602;+55.617787,333.174669;+53.367891,330.639208;+53.353220,330.602189;+55.436437,309.831382;+55.275296,309.623848;+61.357664,308.660864;+61.348614,308.716646;+59.932209,
CET ,006.601217;+00.692546,006.603675;+02.692541,031.615113;+02.597883,031.665095;+10.514386,050.946229;+10.363200,050.852805;+00.446978,050.836504;-01.302944,041.339051;-01.221018,041.148587;-23.853565,026.465850;-23.756215,026.458740;-24.872865,359.110472;-24.804154,359.103210;-06.304184,006.592590;-06.307437,
CHA ,111.651257;-82.775908,209.111251;-83.120165,207.781426;-75.623679,169.856725;-75.684099,135.243254;-75.495521,114.214226;-75.289941,
CIR ,204.680222;-64.638021,204.707420;-65.637956,207.267970;-65.625030,207.460839;-70.624524,224.166478;-70.511618,224.003649;-68.012279,226.557162;-67.990997,226.353552;-64.075193,230.166594;-64.041627,230.054573;-61.458804,232.589778;-61.435361,232.549869;-60.435548,232.381893;-55.436335,228.083481;-55.475552,220.234422;-55.540152,220.514957;-64.539091,
COL ,075.974206;-42.825521,076.254721;-27.077181,092.992341;-27.278789,092.898838;-33.028221,099.903623;-33.112810,099.708666;-43.111643,090.951524;-43.005765,
COM ,179.604398;+13.304078,179.608797;+28.304099,181.595519;+28.304016,181.594366;+33.304022,186.554125;+33.307491,186.557564;+31.307490,200.207645;+31.343793,200.226475;+27.843826,203.953778;+27.860365,204.028825;+14.360525,194.058955;+14.322540,194.061920;+13.322543,
CRA ,269.625462;-37.017465,289.596317;-36.778548,289.769652;-45.277548,272.309024;-45.485979,269.809297;-45.516352,
CRB ,229.099454;+25.538099,229.015869;+32.537726,232.746937;+32.572659,232.643613;+39.572169,237.365410;+39.618960,246.071926;+39.711764,246.279760;+26.712906,243.786681;+26.685558,243.800159;+25.685630,241.805688;+25.664177,
CRV ,194.132939;-11.677399,179.096615;-11.695808,179.091174;-25.195828,190.404403;-25.186435,190.398369;-22.686437,194.166756;-22.677370,
CRT ,162.826971;-06.662181,162.807750;-11.662152,162.775376;-19.662103,164.030414;-19.666644,164.007918;-25.166613,179.091174;-25.195828,179.096615;-11.695808,179.098465;-06.695800,174.342154;-06.691695,
CRU ,179.070614;-55.695864,179.057196;-64.695870,194.438279;-64.677043,194.334403;-55.677180,
CYG ,290.132616;+27.732412,290.095234;+30.232197,291.598764;+30.249315,291.492616;+36.748712,292.119652;+36.755800,291.983560;+43.755030,288.470340;+43.714940,288.375553;+47.714393,287.120679;+47.699867,286.876507;+55.698447,291.904646;+55.755999,291.809604;+58.255463,297.100610;+58.313858,297.039311;+59.813527,300.573344;+59.851058,308.716646;+59.932209,308.660864;+61.348614,309.623848;+61.357664,309.831382;+55.275296,330.602189;+55.436437,330.639208;+53.353220,330.762645;+44.603600,329.878576;+44.598208,329.881609;+44.348217,329.376617;+44.345074,329.460991;+36.595346,327.319922;+36.581511,327.395141;+28.581770,322.620121;+28.548032,315.083885;+28.487172,315.072571;+29.487122,296.250922;+29.301056,296.272187;+27.801173,
DEL ,309.579853;+02.436096,306.079082;+02.402155,306.013931;+08.901828,303.636632;+08.877917,303.558948;+16.127516,305.186935;+16.143963,305.134035;+20.893695,309.896913;+20.939939,309.907620;+19.939990,317.178741;+20.004630,317.248310;+12.338258,314.618567;+12.315763,314.671056;+06.482668,314.045459;+06.477165,314.081056;+02.477326,
DOR ,058.318552;-52.796790,060.797653;-52.822759,060.692664;-56.155530,065.650198;-56.209336,065.554313;-58.708804,069.274259;-58.750617,068.793691;-67.247879,068.581166;-69.746668,098.454020;-70.104127,098.936906;-64.107020,090.173310;-64.001035,090.344747;-61.002077,082.857313;-60.911258,083.018515;-57.412232,075.547467;-57.323003,075.676751;-53.823765,068.217486;-53.737589,068.362005;-48.738407,064.882152;-48.699619,062.149682;-48.669925,062.098406;-50.669649,058.376937;-50.630423,
DRA ,140.615093;+72.974195,142.190573;+81.467828,163.104984;+81.339692,162.818215;+79.340264,174.531298;+79.308435,174.434545;+76.308503,195.820510;+76.329001,196.097366;+69.329457,210.650775;+69.399208,210.820510;+65.399734,235.329597;+65.602411,235.050688;+69.601011,247.841166;+69.738359,247.220878;+74.734846,261.536860;+74.903350,260.218295;+79.895389,267.656432;+79.985778,261.723364;+85.949604,308.722253;+86.465584,313.706262;+80.486739,300.674198;+80.364750,301.873617;+75.370844,309.573275;+75.445489,310.334109;+67.448991,306.517485;+67.412919,306.811913;+61.914349,300.485291;+61.850598,300.573344;+59.851058,297.039311;+59.813527,297.100610;+58.313858,291.809604;+58.255463,291.904646;+55.755999,286.876507;+55.698447,287.120679;+47.699867,274.342391;+47.547618,274.257702;+50.547105,255.786349;+50.324484,255.756833;+51.324311,237.124589;+51.117740,237.084471;+52.617537,229.657341;+52.545238,229.591033;+55.044934,217.251206;+54.942314,217.045226;+62.441565,203.573559;+62.359487,203.550460;+63.359432,181.581399;+63.304050,181.579092;+65.804051,171.849142;+65.812694,171.961131;+72.812588,
EQU ,314.081056;+02.477326,314.045459;+06.477165,314.671056;+06.482668,314.618567;+12.315763,317.248310;+12.338258,318.250228;+12.346552,318.244484;+13.013198,321.501042;+13.039059,321.583416;+02.539386,
ERI ,055.352715;+00.403731,070.852158;+00.237507,071.602114;+00.228922,071.556158;-03.770811,077.804191;-03.843720,077.719823;-10.843216,075.221547;-10.813792,075.178510;-14.313537,073.929586;-14.298956,073.759081;-27.047956,071.763120;-27.024852,071.722205;-29.774615,069.976434;-29.754629,069.862154;-36.753974,065.129639;-36.700987,065.076198;-39.700691,059.105674;-39.636782,059.031148;-43.636392,052.326562;-43.569350,052.288791;-45.569168,046.090572;-45.512419,046.034307;-48.512171,041.085116;-48.470940,041.047495;-50.470789,037.341022;-50.442497,037.283152;-53.442283,033.583959;-53.416394,033.489233;-57.916074,021.206074;-57.848330,021.273113;-52.848479,024.967196;-52.865779,024.993690;-50.865848,028.693088;-50.885848,028.738158;-47.552651,036.152769;-47.600425,036.263841;-39.434158,046.187068;-39.512845,046.193130;-39.096201,053.644082;-39.165048,053.699404;-35.581990,057.430307;-35.619198,057.588705;-24.003346,041.148587;-23.853565,041.339051;-01.221018,050.836504;-01.302944,055.335393;-01.346181,
FOR ,026.465850;-23.756215,041.148587;-23.853565,057.588705;-24.003346,057.430307;-35.619198,053.699404;-35.581990,053.644082;-39.165048,046.193130;-39.096201,046.187068;-39.512845,036.263841;-39.434158,026.350575;-39.372560,026.458740;-24.872865,
GEM ,096.372547;+11.933300,096.443698;+17.432869,095.069353;+17.449509,095.123901;+21.449178,090.124931;+21.509871,090.143819;+22.843086,090.220847;+28.009286,099.965430;+27.891316,100.090036;+35.390567,112.560481;+35.244546,118.289477;+35.181075,118.257851;+33.181245,121.993000;+33.141535,121.915747;+27.641936,120.171435;+27.660301,120.069906;+19.660837,118.947335;+19.672824,118.871400;+13.173228,114.252515;+13.223817,114.240787;+12.223882,106.748009;+12.309606,106.717663;+09.809783,105.718246;+09.821495,105.742598;+11.821352,
GRU ,321.928013;-36.459253,322.042285;-44.958808,322.117341;-49.458517,331.998817;-49.391111,332.113701;-56.390765,351.768455;-56.312608,351.692620;-39.312697,351.683276;-36.312710,346.727431;-36.324917,
HER ,245.558562;+03.703395,242.809627;+03.673528,242.676576;+15.672826,240.181033;+15.646362,240.110954;+21.646001,241.856530;+21.664444,241.805688;+25.664177,243.800159;+25.685630,243.786681;+26.685558,246.279760;+26.712906,246.071926;+39.711764,237.365410;+39.618960,237.124589;+51.117740,255.756833;+51.324311,255.786349;+50.324484,274.257702;+50.547105,274.342391;+47.547618,273.466876;+47.537005,273.824361;+30.039171,276.700772;+30.073989,276.762858;+26.074363,284.269841;+26.164104,284.277132;+25.664147,284.339097;+21.247843,284.373601;+18.664717,284.456225;+12.165205,281.388018;+12.128784,275.203075;+12.054343,275.173253;+14.387493,260.176866;+14.206054,260.195814;+12.706166,252.701431;+12.617958,252.805863;+03.785224,
HOR ,065.076198;-39.700691,064.882152;-48.699619,062.149682;-48.669925,062.098406;-50.669649,058.376937;-50.630423,058.318552;-52.796790,053.364774;-52.747017,053.236579;-57.079720,048.790901;-57.037716,048.362417;-67.035752,033.202145;-66.915111,033.489233;-57.916074,033.583959;-53.416394,037.283152;-53.442283,037.341022;-50.442497,041.047495;-50.470789,041.085116;-48.470940,046.034307;-48.512171,046.090572;-45.512419,052.288791;-45.569168,052.326562;-43.569350,059.031148;-43.636392,059.105674;-39.636782,
